Device,Predicted_Instability_Prob,Risk_Tier,Top_Driver,Anomaly,Voc_V_Reverse,Jsc_mAcm2_Reverse,FF_Reverse,Rs_ohm_cm2_Reverse,Rsh_ohm_cm2_Reverse,Delta_PCE,Hysteresis_Index,Regime,PCA1,PCA2,Risk_Base,Risk_Rs_plus20,DeltaRisk_Rs_plus20,Risk_DeltaPCE_plus20,DeltaRisk_DeltaPCE_plus20,Risk_Hyst_plus20,DeltaRisk_Hyst_plus20,Risk_Jsc_minus10,DeltaRisk_Jsc_minus10,Risk_Voc_minus10mV,DeltaRisk_Voc_minus10mV
device008,0.9999998445577069,High,Rs_ohm_cm2_Reverse,1,1.219799995,-1.9458410623595675e-05,-0.6064971472391957,202671686.05089903,2381028.8971460448,4.859761668484999e-06,0.3375905006210671,2,1.4139897424265337,-0.7256969468936721,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device010,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.6840691879356173,0.0089176358701841,0.5417201433492318,15719.276196803752,347443.6864148205,0.0004986416282077,0.1508911550488335,2,0.6395149912149442,-1.151900335486422,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device022,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.7813254667591119,17.895527840612196,0.4248881068019853,15.118220437964114,109.183855524094,1.0285196723763894,0.1731256971538308,0,-1.0411286860248594,-0.025063086964049103,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device026,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.8102583584362004,17.882366542060762,0.4362190208501967,14.618281848760423,120.2946637379934,1.1300708648048774,0.1787938463100364,0,-1.092605517994975,0.056053988778678794,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device025,0.9999998445577069,High,Rs_ohm_cm2_Reverse,1,0.4768942044492754,6.133083873828318e-06,0.3308042168834214,73678655.43418492,28802755.95980316,6.498116104939999e-07,0.6716074131464771,2,2.06732042241364,-1.4022365405806483,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device042,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,1.079737932553937,19.062988631781582,0.5580695948632068,10.454150146461746,338.2840451095454,2.424965708702276,0.2111095559210549,0,-1.8555018985143497,0.9490830341983216,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device023,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.581304917731915,16.51732089395636,0.3819979964741476,15.64707187489496,76.22869144390565,0.4192897490272678,0.1143166676920943,0,-0.6497759981640201,-0.6127570438579663,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device046,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,1.0671895295691702,19.02803543431157,0.5521770464302033,9.313728150010274,314.72115536988883,1.1256847145753357,0.1003928798306244,0,-1.0908813614626052,0.6705926242164388,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device045,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,1.0324759564563286,19.241814411026667,0.4689454263227451,12.31424400652148,157.8626459601937,1.2642506829640752,0.135701586161536,0,-1.1979234775894427,0.5873690114801949,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device043,0.9999998445577069,High,Jsc_mAcm2_Reverse,0,0.3567148762426668,18.478478003274592,0.264963480729333,17.02346516807802,14.027065904995316,0.7230661508018772,0.4140040525397164,2,-1.007190087773066,-0.9663093383694266,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device075,0.9999998445577069,High,FF_Reverse,1,0.0024179729832223,2.447194894272652,-8.842282431681202,0.988006096913674,0.988006096913674,-0.0523222918541343,1.000005467367506,2,-0.11338343961183209,-8.405029499132182,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device076,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.5080006169766531,13.421433877791294,0.2814076590243456,35.595215328250305,70.1086151976087,0.5123658794493176,0.2670429588277579,2,-0.5408847906281795,-0.9415761040447976,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device077,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,1.17019999,13.167536875489182,0.2650228743097541,30.473598762736337,713.0712527657181,0.7937137522908038,0.1943640375019455,0,-0.5311214781504088,0.3472829996979573,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device078,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.8031452021975197,13.251316577746694,0.4112143347487265,24.73516553153052,898.4373410283351,0.9370479885971998,0.2141117437146103,0,-0.7028407395158818,-0.2237864430563755,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device079,0.9999998445577069,High,Rs_ohm_cm2_Reverse,0,1.17019999,6.067543638977974e-06,1.0104688652509812,564429458.2428402,25251203.68573692,6.945777904662e-06,0.9681105597780194,1,3.5847634915045954,0.6494369271764021,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device080,0.9999998445577069,High,Rs_ohm_cm2_Reverse,0,1.17019999,3.850459745183213e-06,0.7518035299659914,199216972.0268399,18886937.571993724,2.8464165102550005e-06,0.8402749405603714,1,2.1922334311852723,0.18837875698828602,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device081,0.9999998445577069,High,Rs_ohm_cm2_Reverse,0,1.17019999,4.729429533034548e-06,0.8429038079690705,589263020.3622711,23062971.718591925,3.377006995339995e-07,0.0723910865752732,1,3.5535576076163538,0.5406066497044983,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device083,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.1841315084313867,12.747543522730858,0.2628717866674086,13.775383320117886,14.822724616371865,0.1704756317500745,0.2762890780494816,2,-0.3784644216990795,-1.6649838026300345,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device087,0.9999998445577069,High,Rs_ohm_cm2_Reverse,1,0.9319000241995552,4.260528166116579,1.19063087741489e-06,89141037.38148409,2.071750047585667,0.0085566859030253,1810.071312302606,3,1.1942005487107124,-2.0347973606105176,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device084,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.8220417408704352,14.406844493818843,0.3469856835359627,35.452538277257695,619.2320505542172,1.029275636755401,0.2504709701233372,0,-0.8253188844045048,-0.158524686920397,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device085,0.9999998445577069,High,Rs_ohm_cm2_Reverse,0,1.17019999,4.454043628994752e-06,0.7464610805783277,81258314.97882465,39571400.62355297,3.403144125009e-06,0.8746989719348984,1,2.758228214874916,0.2745494831800147,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device086,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.199164470989283,13.082982938472952,0.2601377613742952,14.007995100963834,15.84225448650028,0.1474354636047494,0.2175103459094606,2,-0.3815758575133382,-1.6271537447340452,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device095,0.9999998445577069,High,Rs_ohm_cm2_Reverse,0,1.17019999,5.269060404330886e-06,0.8144255071601865,70113322.3318695,69457218.12074958,4.6635283127100005e-06,0.9286883197201026,1,4.0580102825832665,0.5536670307528405,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device094,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.4947447113995736,13.10077918139269,0.3397195737946563,25.8554018709928,98.51809367914512,0.4695869556241232,0.2132638115486567,2,-0.4967632455339645,-0.952026634322172,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device093,0.9999998445577069,High,Rs_ohm_cm2_Reverse,0,1.17019999,5.910053707317239e-06,0.6905484211436269,94724077.32710804,20489961.99583039,4.224006338690001e-06,0.8844614468316796,1,1.946817727764677,0.09244335406744157,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device092,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.7712112698598137,14.239530935516012,0.3033037242193133,46.1775534162396,298.6718144005032,0.9104217106170664,0.2733353562997259,0,-0.7596796242546192,-0.31374346719387164,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device097,0.9999998445577069,High,Rs_ohm_cm2_Reverse,0,1.17019999,3.658486595989483e-06,1.0711317831821516,81762190.80069354,27898005.434640605,4.09959637822e-06,0.8939981835930093,1,2.256055855587696,0.3896690116787446,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device099,0.9999998445577069,High,Rs_ohm_cm2_Reverse,0,1.17019999,5.2253791984691005e-06,0.9840182082112888,319635955.95008993,56022071.27686934,5.566324592036e-06,0.9250974656425416,1,4.217682948699896,0.7197256005722427,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device072,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.5012942319171737,12.971019598995577,0.2760465020837173,42.16797146008599,65.63944410233727,0.503654390653743,0.2805973420803191,2,-0.5105138397627671,-0.980178655389601,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device074,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,1.122775432125818,12.589403758834736,0.2359151493126801,132.81302975308404,280.0745222871677,0.6552773212096539,0.1965039316720661,0,-0.4276729131925805,0.18528645888934467,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device069,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.5671063658506555,13.48414671371406,0.3442032613006586,26.86297304867528,86.199420735168,0.5917971505079982,0.2248380951547022,2,-0.5740633081446441,-0.7706777517977383,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device070,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.7732860995326016,13.314118624139972,0.4341783431802546,21.611896434287367,999.8180726165992,0.9764662895613974,0.2184421650173971,0,-0.7360012790675518,-0.25519208434755575,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device068,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.53331017493668,12.990650720019628,0.2655921942325137,44.63158890349221,68.29952725008131,0.5432971464569998,0.295264572787124,2,-0.5277787176810723,-0.9176496482550952,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device073,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.8005422550157236,13.054768479845922,0.4241025244715689,27.50864322362746,1607.3369552863944,0.9384795800223928,0.2117388428724359,0,-0.691824392891425,-0.22917146631386112,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device071,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.4996087382974597,13.386098226389436,0.318800437874366,33.98365111729515,69.37628585733256,0.7129035857751371,0.3343704246154539,2,-0.6571726174766785,-0.8965576125629463,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device056,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.60523598584344,19.560435165020067,0.552655859922176,8.178893907076574,212.884451325194,0.8839151130815273,0.1350991216908198,0,-1.0927880907657497,-0.22795779442408823,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device049,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.356543946161512,0.0099131730738122,0.2739317202532332,30311.13700526791,36017.45075847351,0.0002248149954332,0.2321973161107733,2,0.5331250764789868,-1.94910382908786,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device050,0.9999998445577069,High,Rs_ohm_cm2_Reverse,0,1.219799995,7.491678802096729e-06,0.8850785895969462,540345431.2095546,25227113.65394985,-1.641607294239995e-07,-0.0202964302966807,1,3.5170565798335116,0.6471480980653727,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device047,0.9999998445577069,High,Rs_ohm_cm2_Reverse,0,0.0125140918152733,0.0220792949647344,0.0772557282894838,537.0249061257268,537.0045735452362,1.27847265e-05,0.5989302001744379,2,0.43769685833235733,-2.72919336134776,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device024,0.9999998427591572,High,Rsh_ohm_cm2_Reverse,0,0.798585151212195,17.89539818749865,0.4310014627357839,15.80236977730164,110.523446844863,1.078814529548917,0.1751481062182944,0,-1.0662712780248227,0.021292257388165967,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device012,0.9999998427591572,High,Rsh_ohm_cm2_Reverse,0,0.7030096425020204,0.0082092561415579,0.4674940931263858,27673.39819017305,315932.9273566646,0.0004041677194643,0.1498029644084386,2,0.6392470968062386,-1.1641591585887245,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device041,0.9999998427591572,High,Jsc_mAcm2_Reverse,0,0.0252393840867427,12.675115131049155,0.2481628200776228,1.9917417518853624,1.9908003993054453,0.00626333101305,0.0788929114092068,2,-0.31673506114834726,-2.01081811528192,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device048,0.9999998427591572,High,Rs_ohm_cm2_Reverse,1,1.219799995,4.252850982455266e-06,1.131770044755947,1458818630.6078396,73000513.80284885,5.325505152558e-06,0.9070554172189558,1,8.413369688199897,1.8035174369016387,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device052,0.9999998427591572,High,Rs_ohm_cm2_Reverse,0,0.5854038467116336,0.0081790950885536,0.3768492490073778,20439786.29618627,319832.4642146441,-0.0004972538303529,-0.2755812425272344,2,0.668107277598529,-1.4322237119549162,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device088,0.9999998427591572,High,Rsh_ohm_cm2_Reverse,0,0.9479585638751477,14.493581238339887,0.3691051315088652,58.79502627640774,1826.450341042094,1.095520458023283,0.2160256624395502,0,-0.8378380404015061,0.11152452375587343,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device082,0.9999998427591572,High,Rs_ohm_cm2_Reverse,1,1.17019999,3.2009127676816366e-06,0.6457776192965149,804140650.1792504,38131670.01495893,1.7751980332110005e-06,0.7338881742667289,1,4.859996902977467,0.6779257061589762,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device100,0.9999998427591572,High,Rs_ohm_cm2_Reverse,0,1.17019999,4.454362440247062e-06,0.9113362945328156,6654186.659925156,1044160.5846588836,4.269998173967001e-06,0.8988834429680126,0,0.8277383519898192,0.018581722865573566,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device090,0.9999998427591572,High,Rsh_ohm_cm2_Reverse,0,0.2397534307805486,13.107388856686756,0.2657974032542686,16.871553772454266,19.26419629568835,0.160933067772995,0.192669753626908,2,-0.38085902685337447,-1.542718116859239,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device098,0.9999998427591572,High,Rsh_ohm_cm2_Reverse,0,0.7671931919011521,13.176664944138135,0.4029702192134548,22.85599017637943,639.6389500584513,0.9968198151337068,0.2446997174023199,0,-0.7427291033390048,-0.28934604029690036,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device091,0.9999998427591572,High,Rs_ohm_cm2_Reverse,0,0.7532151104421217,6.076771816636639e-06,0.7396604594204906,138278717.49869096,22457835.543602005,3.012898133307e-06,0.8899386993168948,1,2.0661203817660216,-0.6225344943915416,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device059,0.5590904444754665,Medium,Rs_ohm_cm2_Reverse,0,0.05628493861255,2.280004860332524,0.215841694139017,24.62194666294125,24.128726232635533,0.0011560003207999,0.0417344451410453,2,0.3182471387024231,-2.4521192887588406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
device096,0.5456332074934634,Medium,Rs_ohm_cm2_Reverse,0,0.0190061401203395,0.2794861517461386,0.2471474012374696,67.2745365799735,67.09127343053136,1.2631161500000147e-05,0.0096212836648361,2,0.43183796553271814,-2.594944811764725,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
